tipo_doc,co_mun,registro_tombo,exer_orç,co_orgao,co_uni_orcamentaria,data_empenho,nu_empenho,data_ref
983,061,03000000000000035481,201300,03,01,20130422,22040003,202311
983,061,03000000000000057376,201700,03,01,20171002,02100050,202311
983,061,03000000000000056872,201700,03,01,20170906,06090002,202311
983,061,03000000000000065258,202000,03,01,20200504,04050002,202311
983,061,03000000000000065372,202000,03,01,20200518,18050001,202311
983,061,03000000000000065397,202000,03,01,20200518,18050001,202311
983,061,03000000000000065398,202000,03,01,20200518,18050001,202311
983,061,03000000000000065399,202000,03,01,20200518,18050001,202311
983,061,06000000000000066282,202000,06,01,20200916,16090002,202311
983,061,03000000000000064949,202000,03,01,20200302,02030003,202311
983,061,03000000000000065510,202000,03,01,20200528,28050001,202311
983,061,03000000000000065511,202000,03,01,20200528,28050001,202311
983,061,03000000000000049328,201600,03,01,20160721,21070005,202311
983,061,03000000000000049330,201600,03,01,20160721,21070005,202311
983,061,03000000000000065394,202000,03,01,20200518,18050001,202311
983,061,03000000000000065395,202000,03,01,20200518,18050001,202311
983,061,03000000000000065396,202000,03,01,20200518,18050001,202311
983,061,03000000000000050533,201600,03,01,20161019,19100008,202311
983,061,03000000000000059756,201800,03,01,20180411,11040001,202311
983,061,06000000000000065404,202000,06,01,20200521,21050001,202311
983,061,05000000000000065631,202000,05,01,20200528,28050002,202311
983,061,05000000000000065632,202000,05,01,20200528,28050002,202311
983,061,03000000000000066329,202000,03,01,20201020,20100001,202311
983,061,03000000000000066330,202000,03,01,20201020,20100001,202311
983,061,03000000000000049013,201600,03,01,20160602,2060017,202311
983,061,03000000000000057528,201700,03,01,20171201,01120163,202311
983,061,03000000000000048631,201600,03,01,20160309,9030002,202311
983,061,08000000000000065415,202000,08,01,20200703,03070005,202311
983,061,08000000000000065416,202000,08,01,20200703,03070005,202311
983,061,08000000000000065418,202000,08,01,20200703,03070005,202311
983,061,08000000000000065419,202000,08,01,20200703,03070005,202311
983,061,08000000000000065420,202000,08,01,20200703,03070005,202311
983,061,08000000000000065422,202000,08,01,20200703,03070005,202311
983,061,08000000000000065423,202000,08,01,20200703,03070005,202311
983,061,08000000000000065424,202000,08,01,20200703,03070005,202311
983,061,08000000000000065425,202000,08,01,20200703,03070005,202311
983,061,06000000000000066293,202000,06,01,20200722,22070001,202311
983,061,03000000000000057372,201700,03,01,20171002,02100050,202311
983,061,03000000000000047657,201400,03,01,20140205,5020001,202311
983,061,03000000000000050952,201600,03,01,20161202,2120005,202311
983,061,03000000000000055756,201700,03,01,20170630,30060001,202311
983,061,03000000000000055764,201700,03,01,20170630,30060001,202311
983,061,03000000000000049340,201600,03,01,20160721,21070004,202311
983,061,03000000000000049339,201600,03,01,20160721,21070004,202311
983,061,03000000000000035160,201300,03,01,20130430,30040006,202311
983,061,03000000000000035484,201300,03,01,20130422,22040003,202311
983,061,03000000000000035490,201300,03,01,20130422,22040003,202311
983,061,03000000000000035491,201300,03,01,20130422,22040003,202311
983,061,03000000000000051449,201700,03,01,20170403,03040178,202311
983,061,03000000000000051443,201700,03,01,20170403,03040178,202311
983,061,03000000000000051440,201700,03,01,20170403,03040177,202311
983,061,03000000000000051458,201700,03,01,20170403,03040171,202311
983,061,03000000000000051469,201700,03,01,20170403,03040175,202311
983,061,03000000000000051470,201700,03,01,20170403,03040175,202311
983,061,03000000000000051474,201700,03,01,20170403,03040176,202311
983,061,03000000000000051481,201700,03,01,20170403,03040174,202311
983,061,03000000000000051492,201700,03,01,20170403,03040174,202311
983,061,03000000000000051493,201700,03,01,20170403,03040174,202311
983,061,03000000000000055503,201700,03,01,20170403,03040183,202311
983,061,03000000000000055504,201700,03,01,20170403,03040183,202311
983,061,03000000000000055505,201700,03,01,20170403,03040183,202311
983,061,03000000000000055506,201700,03,01,20170403,03040183,202311
983,061,03000000000000055510,201700,03,01,20170403,03040183,202311
983,061,03000000000000055512,201700,03,01,20170403,03040183,202311
